subject,location,Sum of value
PIG,ARG,16230.60421
PIG,AUS,21830.76971
PIG,BRA,101089.2175
PIG,BRICS,2049493.357
PIG,CAN,31648.99191
PIG,CHE,10824.51201
PIG,CHL,14180.64751
PIG,CHN,1814998.839
PIG,COL,11913.81209
PIG,EGY,78.08260419
PIG,ETH,70.36733631
PIG,EU27,571221.5866
PIG,GBR,41416.91084
PIG,IDN,15352.24599
PIG,IND,14955.54483
PIG,IRN,23.0056658
PIG,ISR,638.2576903
PIG,JPN,93585.61439
PIG,KAZ,5422.426253
PIG,KOR,57233.34782
PIG,MEX,65378.10629
PIG,MYS,9217.457623
PIG,NGA,8460.084173
PIG,NOR,5511.634342
PIG,NZL,4060.647144
PIG,OECD,1259188.807
PIG,PAK,0.933790702
PIG,PER,5209.9706
PIG,PHL,62998.31964
PIG,PRY,7143.27903
PIG,RUS,111929.6607
PIG,SAU,346.7557626
PIG,THA,30705.23042
PIG,TUR,5.605684321
PIG,UKR,31133.10586
PIG,USA,349642.5706
PIG,VNM,103878.5726
PIG,WLD,3826731.314
PIG,ZAF,8156.821794
