subject,location,Sum of value
SHEEP,ARG,2245.512499
SHEEP,AUS,10933.88802
SHEEP,BRA,4752.071549
SHEEP,BRICS,192789.1807
SHEEP,CAN,1367.495218
SHEEP,CHE,532.502647
SHEEP,CHL,431.2263259
SHEEP,CHN,145444.4013
SHEEP,COL,414.1803669
SHEEP,EGY,4847.806018
SHEEP,ETH,3061.113745
SHEEP,EU27,24445.09979
SHEEP,GBR,9818.35317
SHEEP,IDN,4596.79479
SHEEP,IND,27797.08303
SHEEP,IRN,15744.41153
SHEEP,ISR,541.842559
SHEEP,JPN,1727.193965
SHEEP,KAZ,6782.974977
SHEEP,KOR,454.9641569
SHEEP,MEX,2972.815737
SHEEP,MYS,1088.201811
SHEEP,NGA,14115.8872
SHEEP,NOR,1222.461184
SHEEP,NZL,3065.433816
SHEEP,OECD,76636.66846
SHEEP,PAK,19043.83987
SHEEP,PER,1499.645676
SHEEP,PHL,1935.03791
SHEEP,PRY,162.337434
SHEEP,RUS,8073.221248
SHEEP,SAU,6175.847005
SHEEP,THA,99.0171108
SHEEP,TUR,14470.51378
SHEEP,UKR,794.7823922
SHEEP,USA,6373.513047
SHEEP,VNM,487.1505689
SHEEP,WLD,495400.3463
SHEEP,ZAF,6970.249489
